CallSign,ExerciseTime,Latitude,Longitude,Height
SIA865,0,2.5,102.1874,10668.0
SIA367,0,2.5416,102.0376,9448.8
SIA489,0,2.5575,102.302,9448.8
SIA992,0,3.1453,102.3973,11887.2
SIA311,0,3.1088,102.1609,11887.2
SIA395,0,2.6384,102.2953,10668.0
SIA850,0,2.3252,102.2071,10668.0
SIA803,0,2.142,102.4368,10668.0
SIA598,0,2.1998,102.5925,11887.2
SIA941,0,2.7049,102.9391,11887.2
SIA498,0,2.9558,102.1494,11887.2
SIA524,0,2.7952,102.4809,11887.2
SIA989,0,2.7383,101.766,9448.8
SIA777,0,2.288,103.2374,9448.8
SIA266,0,2.4391,101.7854,9448.8
SIA42,0,3.2488,101.9202,9448.8
SIA431,0,2.9782,102.013,9448.8
SIA415,0,2.4984,102.7635,11887.2
SIA914,0,2.1424,102.2936,11887.2
SIA912,0,2.1622,103.5626,9448.8
SIA524,1,2.7955,102.4819,11887.2
SIA367,1,2.5424,102.0369,9448.8
SIA865,1,2.5,102.1885,10668.0
SIA431,1,2.9778,102.014,9448.8
SIA415,1,2.4974,102.7637,11887.2
SIA989,1,2.7373,101.7664,9448.8
SIA311,1,3.1079,102.1604,11887.2
SIA498,1,2.9555,102.1504,11887.2
SIA914,1,2.1431,102.2927,11887.2
SIA266,1,2.4384,101.7863,9448.8
SIA777,1,2.2876,103.2364,9448.8
SIA992,1,3.1447,102.3965,11887.2
SIA598,1,2.1999,102.5915,11887.2
SIA489,1,2.5578,102.301,9448.8
SIA941,1,2.7039,102.9388,11887.2
SIA42,1,3.248,101.9209,9448.8
SIA850,1,2.3263,102.207,10668.0
SIA912,1,2.1623,103.5615,9448.8
SIA803,1,2.1429,102.4362,10668.0
SIA395,1,2.6379,102.2962,10668.0
SIA598,2,2.2,102.5905,11887.2
SIA914,2,2.1437,102.2919,11887.2
SIA415,2,2.4964,102.7639,11887.2
SIA367,2,2.5432,102.0362,9448.8
SIA850,2,2.3273,102.207,10668.0
SIA395,2,2.6374,102.2971,10668.0
SIA431,2,2.9774,102.015,9448.8
SIA803,2,2.1437,102.4356,10668.0
SIA989,2,2.7363,101.7668,9448.8
SIA941,2,2.7029,102.9384,11887.2
SIA912,2,2.1625,103.5605,9448.8
SIA311,2,3.1069,102.16,11887.2
SIA524,2,2.7957,102.4829,11887.2
SIA498,2,2.9552,102.1514,11887.2
SIA266,2,2.4378,101.7871,9448.8
SIA42,2,3.2472,101.9216,9448.8
SIA777,2,2.2872,103.2354,9448.8
SIA865,2,2.5,102.1895,10668.0
SIA489,2,2.5582,102.3,9448.8
SIA992,2,3.144,102.3957,11887.2
SIA989,3,2.7353,101.7672,9448.8
SIA941,3,2.702,102.9381,11887.2
SIA489,3,2.5586,102.299,9448.8
SIA992,3,3.1434,102.3948,11887.2
SIA914,3,2.1443,102.291,11887.2
SIA524,3,2.796,102.4839,11887.2
SIA311,3,3.106,102.1596,11887.2
SIA850,3,2.3284,102.2069,10668.0
SIA803,3,2.1446,102.4351,10668.0
SIA42,3,3.2464,101.9223,9448.8
SIA598,3,2.2001,102.5895,11887.2
SIA777,3,2.2868,103.2345,9448.8
SIA498,3,2.955,102.1524,11887.2
SIA431,3,2.977,102.016,9448.8
SIA865,3,2.5,102.1905,10668.0
SIA266,3,2.4371,101.788,9448.8
SIA395,3,2.6369,102.298,10668.0
SIA367,3,2.544,102.0355,9448.8
SIA415,3,2.4954,102.7641,11887.2
SIA912,3,2.1626,103.5594,9448.8
SIA941,4,2.701,102.9378,11887.2
SIA992,4,3.1428,102.394,11887.2
SIA266,4,2.4365,101.7888,9448.8
SIA598,4,2.2002,102.5884,11887.2
SIA524,4,2.7963,102.4849,11887.2
SIA914,4,2.1449,102.2902,11887.2
SIA42,4,3.2455,101.9229,9448.8
SIA415,4,2.4944,102.7643,11887.2
SIA498,4,2.9547,102.1534,11887.2
SIA912,4,2.1627,103.5584,9448.8
SIA865,4,2.5,102.1916,10668.0
SIA777,4,2.2864,103.2335,9448.8
SIA431,4,2.9766,102.017,9448.8
SIA311,4,3.1051,102.1592,11887.2
SIA803,4,2.1455,102.4345,10668.0
SIA989,4,2.7343,101.7676,9448.8
SIA489,4,2.5589,102.298,9448.8
SIA367,4,2.5448,102.0349,9448.8
SIA850,4,2.3294,102.2069,10668.0
SIA395,4,2.6364,102.2989,10668.0
SIA266,5,2.4358,101.7896,9448.8
SIA912,5,2.1629,103.5573,9448.8
